,date,time,id,tweet,sentiment
0,20210411,21:26:38,1381358050292957184,"$INV, $ALCX, $CELL, $DPR",0
1,20210411,21:19:06,1381356157453881348,RT @Bizarraperfeita: Todo mundo adoraria ficar sozinho nesse lugar. https://t.co/BTaye7fdwv,0
2,20210411,20:59:54,1381351324432924678,@UncleRewards Do everything except $ALCX. People will be cashing out their $ALCX when prices fall and massive liqui… https://t.co/fD9P4NOEd8,0
3,20210411,20:57:28,1381350710013476864,"@bluekirbyfi $ALCX is an innovation in debt. Collateralize on AAVE, borrow DAI, deposit in ALCX, borrow against and… https://t.co/O3hfv1zT6h",0
4,20210411,20:44:21,1381347411105357824,"My new bank has an Atlantean/Egyptian, Hermetic Alchemy layout on its website. Not some sterile, suit and tie bulls… https://t.co/iLj3MZnSns",1
5,20210411,20:24:25,1381342392163307521,"RT @b05crypto: @Alchemix( $ALCX ) use cases - a thread

Use Case 1 - Ultimate Savings Account
Put in $ and get 50% gains immediately. Wait…",0
6,20210411,20:21:37,1381341687549734915,"🟢 Swapped $313K in $ETH for $ALCX on #Sushiswap 🍣

🐟 ($327K) #0x500f86
https://t.co/L7Wl5h1wqU",0
7,20210411,20:13:22,1381339614514982913,@c_alcx It really is - it can feel brutal at times but if you give yourself a safety net for when your shotgunner m… https://t.co/urFCeiy9si,-1
8,20210411,20:12:18,1381339343676039170,@Rustyram78 @PancakeSwap I also like @AlchemixFi a lot right now for passive income and this one is on the ETH bloc… https://t.co/2rQOugZtGH,1
9,20210411,20:08:23,1381338358203482112,@c_alcx Bloody love xcom 2. An unasked for recommendation: feel free to go back to saves if you feel you've been sc… https://t.co/FY551vE38m,1
10,20210411,20:08:10,1381338303639719936,"RT @b05crypto: @Alchemix( $ALCX ) use cases - a thread

Use Case 1 - Ultimate Savings Account
Put in $ and get 50% gains immediately. Wait…",0
11,20210411,19:59:20,1381336081459724289,"@c_alcx Its really great. Have a nice time, please.",1
